tag,cores,run,numas,ccds,clock_GHz,runtime_s,bench_cycle_clock_GHz,warnings,exit,prec,theoretical_GFLOPs,measured_GFLOPs,pct_peak,flops_per_cyc_per_core,bench_GFLOPs
sp_avx512,24,2,1,3,3.6940464000000004,1.2426,2.396378002,0,0,SP,2837.0276352,2488.64,87.71997738487168,28.07039276315894,2488.56709
sp_avx512,8,1,1,1,3.6944014000000003,1.2414,2.396015749,0,0,SP,945.7667584000001,830.3636074,87.7979269227824,28.095336615290368,830.3639499999999
sp_avx512,8,2,1,1,3.6944101000000003,1.2408,2.39637711,0,0,SP,945.7689856000001,830.7764440999999,87.84137106937924,28.109238742201356,830.7780300000001
sp_avx512,96,1,4,12,2.5325419,1.8119,2.396371773,0,0,SP,7779.9687168,6828.4,87.76899044921363,28.08607694374836,6826.936610000001
sp_avx512,96,2,4,12,2.5346325000000003,1.8173,2.395461443,0,0,SP,7786.39104,6807.206,87.42440451590778,27.975809445090494,6806.52012
sp_avx512_fma,192,1,8,24,3.0367892000000003,1.3422,2.396373386,0,0,SP,18658.0328448,18454.93,98.91144556079713,31.65166257945508,18432.26339
sp_avx512_fma,192,2,8,24,3.0827388,1.3269,2.396370194,0,0,SP,18940.3471872,18667.85,98.56128726413125,31.539611924522003,18644.39791
sp_avx512_fma,1,1,1,1,3.6943989,1.0938,2.396377929,0,0,SP,118.2207648,117.8027536,99.64641473880907,31.886852716418904,117.80317
sp_avx512_fma,1,2,1,1,3.6933711,1.0938,2.396381015,0,0,SP,118.1878752,117.7942456,99.66694586958782,31.893422678268102,117.79458
sp_avx512_fma,24,1,1,3,3.6935539,1.0952,2.39637804,0,0,SP,2836.6493952,2823.731,99.54458964079737,31.854268685055153,2823.64892
sp_avx512_fma,24,2,1,3,3.6934529,1.0947,2.396374076,0,0,SP,2836.5718272,2824.929,99.5895458352806,31.86865466728979,2824.8725299999996
sp_avx512_fma,8,1,1,1,3.6944056,1.0941,2.396374434,0,0,SP,945.7678336,942.1678095,99.61935435187124,31.878193392598796,942.1656899999999
sp_avx512_fma,8,2,1,1,3.6944057,1.094,2.396215758,0,0,SP,945.7678592,942.2501654,99.62805948988628,31.880979036763613,942.2500200000001
sp_avx512_fma,96,1,4,12,2.9527545,1.3752,2.396375812,0,0,SP,9070.861824,8995.978,99.1744574500973,31.735826384031135,8994.584939999999
sp_avx512_fma,96,2,4,12,2.9539744,1.3742,2.396195298,0,0,SP,9074.6093568,9002.224,99.20233087779411,31.74474588089412,9001.41006
sp_scalar,192,1,8,24,3.241031,2.0265,2.396379168,0,0,SP,2489.111808,1629.043,65.44675875001914,2.617870350000766,1627.7298899999998
